utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_afghanistan,mix_china,mix_india,mix_pakistan
bio_hpl,air,0.16,0.22,0.35,0.0,0.0,0.05794836645790352,0.0
bio_hpl,cl_fresh,0.05,0.1,0.15,1.0,1.0,0.9206674826438624,0.9611955085865257
bio_hpl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
bio_hpl,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.02138415089823407,0.03880449141347424
bio_istig,air,0.16,0.22,0.35,0.0,0.0,0.05794836645790352,0.0
bio_istig,cl_fresh,0.05,0.1,0.15,1.0,1.0,0.9206674826438624,0.9611955085865257
bio_istig,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
bio_istig,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.02138415089823407,0.03880449141347424
bio_istig_ccs,cl_fresh,0.05,0.1,0.15,1.0,1.0,0.9206674826438624,0.9611955085865257
bio_istig_ccs,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
bio_istig_ccs,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.02138415089823407,0.03880449141347424
bio_ppl,air,0.16,0.22,0.35,0.0,0.0,0.05794836645790352,0.0
bio_ppl,cl_fresh,0.05,0.1,0.15,1.0,1.0,0.9206674826438624,0.9611955085865257
bio_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
bio_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.02138415089823407,0.03880449141347424
coal_adv,air,0.16,0.22,0.35,0.0,0.09938861890578461,0.0,0.0
coal_adv,cl_fresh,0.05,0.1,0.15,0.0,0.38062392224486596,0.37735849056603776,0.0
coal_adv,ot_fresh,0.0002,0.0004,0.0006,0.0,0.15331556670324503,0.0,0.0
coal_adv,ot_saline,0.0002,0.0003,0.0005,1.0,0.3666718921461044,0.6226415094339622,1.0
coal_adv_ccs,cl_fresh,0.11,0.16,0.2,0.0,0.38062392224486596,0.37735849056603776,0.0
coal_adv_ccs,ot_fresh,0.0002,0.0004,0.0006,0.0,0.15331556670324503,0.0,0.0
coal_adv_ccs,ot_saline,0.0002,0.0003,0.0005,1.0,0.3666718921461044,0.6226415094339622,1.0
coal_ppl,air,0.16,0.22,0.35,0.0,0.09196016793983271,0.0,0.0
coal_ppl,cl_fresh,0.05,0.1,0.15,1.0,0.6660795362496232,0.964846406137921,1.0
coal_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.05123723808603564,0.00046667817099066975,0.0
coal_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.19072305772450843,0.034686915691088324,0.0
coal_ppl_u,air,0.16,0.22,0.35,0.0,0.09630888819375548,0.002964658520808131,0.0
coal_ppl_u,cl_fresh,0.11,0.16,0.2,1.0,0.7350751852938033,0.8829827660863276,1.0
coal_ppl_u,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0801302356714164,0.08824647440059082,0.0
coal_ppl_u,ot_saline,0.0002,0.0003,0.0005,0.0,0.08848569084102473,0.02580610099227344,0.0
csp_sm1_res,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res1,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res1,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res1,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res1,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res2,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res2,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res2,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res2,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res3,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res3,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res3,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res3,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res4,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res4,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res4,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res4,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res5,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res5,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res5,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res5,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res6,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res6,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res6,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res6,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res7,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res7,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm1_res7,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm1_res7,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2010,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2010,cl_fresh,0.05,0.1,0.15,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2010,ot_fresh,0.0002,0.0004,0.0006,1.0,1.0,1.0,1.0
csp_sm1_res_hist_2010,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2015,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2015,cl_fresh,0.05,0.1,0.15,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2015,ot_fresh,0.0002,0.0004,0.0006,1.0,1.0,1.0,1.0
csp_sm1_res_hist_2015,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2020,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2020,cl_fresh,0.05,0.1,0.15,0.0,0.0,0.0,0.0
csp_sm1_res_hist_2020,ot_fresh,0.0002,0.0004,0.0006,1.0,1.0,1.0,1.0
csp_sm1_res_hist_2020,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res1,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res1,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res1,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res1,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res2,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res2,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res2,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res2,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res3,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res3,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res3,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res3,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res4,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res4,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res4,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res4,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res5,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res5,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res5,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res5,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res6,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res6,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res6,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res6,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
csp_sm3_res7,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
csp_sm3_res7,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
csp_sm3_res7,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
csp_sm3_res7,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
foil_hpl,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
foil_hpl,cl_fresh,0.05,0.1,0.15,1.0,0.5522774327122153,0.699089061206053,0.3346568349404424
foil_hpl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.10351966873706005,0.0,0.09453582907922102
foil_hpl,ot_saline,0.0002,0.0003,0.0005,0.0,0.3442028985507246,0.3009109387939472,0.5708073359803365
foil_ppl,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
foil_ppl,cl_fresh,0.05,0.1,0.15,1.0,0.5522774327122153,0.699089061206053,0.3346568349404424
foil_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.10351966873706005,0.0,0.09453582907922102
foil_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.3442028985507246,0.3009109387939472,0.5708073359803365
gas_cc,air,0.1,0.14,0.2,0.0,0.0,0.03174953106717442,0.030412054070896612
gas_cc,cl_fresh,0.02,0.05,0.07,1.0,0.6006356341115061,0.9389176656807585,0.905010259779887
gas_cc,ot_fresh,0.0001,0.0002,0.0003,0.0,0.04416474528375297,0.0,0.053276591073103556
gas_cc,ot_saline,0.0001,0.00015,0.00025,0.0,0.3551996206047408,0.029332803252067014,0.011301095076112875
gas_cc_ccs,cl_fresh,0.11,0.16,0.2,1.0,0.6006356341115061,0.9389176656807585,0.905010259779887
gas_cc_ccs,ot_fresh,0.0002,0.0004,0.0006,0.0,0.04416474528375297,0.0,0.053276591073103556
gas_cc_ccs,ot_saline,0.0002,0.0003,0.0005,0.0,0.3551996206047408,0.029332803252067014,0.011301095076112875
gas_hpl,air,0.16,0.22,0.35,0.0,0.0,0.03174953106717442,0.030412054070896612
gas_hpl,cl_fresh,0.05,0.1,0.15,1.0,0.6006356341115061,0.9389176656807585,0.905010259779887
gas_hpl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.04416474528375297,0.0,0.053276591073103556
gas_hpl,ot_saline,0.0002,0.0003,0.0005,0.0,0.3551996206047408,0.029332803252067014,0.011301095076112875
gas_ppl,air,0.16,0.22,0.35,0.0,0.0,0.010387132586346156,0.0
gas_ppl,cl_fresh,0.05,0.1,0.15,1.0,0.8943441290060302,0.6242666684394039,0.5574236937403001
gas_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.16554578375581996
gas_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.10565587099396978,0.3653461989742499,0.27703052250388
geo_hpl,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
geo_hpl,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
geo_hpl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
geo_hpl,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
geo_ppl,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
geo_ppl,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
geo_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
geo_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
igcc,air,0.1,0.14,0.2,0.0,0.0,0.0,0.0
igcc,cl_fresh,0.02,0.05,0.07,0.0,0.0,0.0,0.0
igcc,ot_fresh,0.0002,0.0004,0.0006,1.0,1.0,1.0,1.0
igcc,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
igcc_ccs,cl_fresh,0.04,0.1,0.16,0.0,0.0,0.0,0.0
igcc_ccs,ot_fresh,0.0002,0.0004,0.0006,1.0,1.0,1.0,1.0
igcc_ccs,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
loil_cc,air,0.1,0.14,0.2,0.0,0.0,0.0,0.0
loil_cc,cl_fresh,0.02,0.05,0.07,1.0,1.0,1.0,1.0
loil_cc,ot_fresh,0.0001,0.0002,0.0003,0.0,0.0,0.0,0.0
loil_cc,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
loil_ppl,air,0.16,0.22,0.35,0.0,0.0,0.0,0.0
loil_ppl,cl_fresh,0.05,0.1,0.15,1.0,1.0,1.0,1.0
loil_ppl,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.0
loil_ppl,ot_saline,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.0
nuc_hc,cl_fresh,0.05,0.1,0.15,0.0,0.000645619471883272,0.33763440860215055,0.0
nuc_hc,ot_fresh,0.0002,0.0004,0.0006,0.0,0.0,0.0,0.48872180451127817
nuc_hc,ot_saline,0.0002,0.0003,0.0005,1.0,0.9993543805281168,0.6623655913978495,0.5112781954887218
nuc_lc,cl_fresh,0.11,0.16,0.2,0.0,0.0,0.6826923076923077,0.0
nuc_lc,ot_fresh,0.0004,0.0008,0.0006,0.0,0.0,0.0,0.0
nuc_lc,ot_saline,0.0004,0.0006,0.001,1.0,1.0,0.3173076923076923,1.0
